species_name
Aaosphaeria
Abisporus
Acaromyces
Acephala
Acidomyces
Acremonium
Agaricostilbum
Agrocybe
Alternaria
Amanita
Amniculicola
Anthostoma
Antonospora
Antrodia
Apiospora
Aplosporella
Armillaria
Arthroascus
Arthrobotrys
Arthroderma
Artolenzites
Ascobolus
Ascocoryne
Ascodesmis
Ascoidea
Aspergillus
Atractiellales
Aulographum
Aureobasidium
Auricularia
Auriscalpium
Babjeviella
Backusella
Basidioascus
Basidiobolus
Batrachochytrium
Baudoinia
Beauveria
Bimuria
Bjerkandera
Blastobotrys
Brown
Candida
Catenaria
Cenococcum
Cephaloascus
Ceraceosorus
Ceratobasidium
Cercospora
Ceriporiopsis
Cerrena
Chaetomium
Chalara
Chionosphaera
Choiromyces
Cladonia
Cladosporium
Clathrospora
Clavicorona
Clavulina
Coprinopsis
Cryphonectria
Cryptococcus
Eremothecium
Eutypa
Exidia
Exobasidium
Fibroporia
Fibulobasidium
Fibulorhizoctonia.
Fistulina
Fomitiporia
Fomitopsis
Fusarium
Galerina
Ganoderma
Glarea
Gloeophyllum
Glomerella
Glomus
Glonium
Gonapodya
Grosmannia
Guyanagaster
Gymnascella
Gymnopilus
Gymnopus
Gyrodon
Hanseniaspora
Hebeloma
Heliocybe
Hesseltinella
Heterobasidion
Heterogastridium
Histoplasma
Hormoconis
Hyalopycnis
Hydnomerulius
Hydnum
Hypholoma
Hyphopichia
Hypoxylon
Hysterium
Ilyonectria
Jaapia
Jaminaea
Kalaharituber
Karstenula
Kazachstania
Kluyveromyces
Laccaria
Laetiporus
Leiotrametes
Lentinellus
Lentinus
Lentithecium
Lepidopterella
Lepista
Leptodontium
Leptosphaeria
Leucoagaricus
Leucogyrophana
Lichtheimia
Linderina
Lindgomyces
Lindra
Lipomyces
Lizonia
Lollipopaia
Lophiostoma
Lophium
Loramyces
Malassezia
Martensiomyces
Massarina
Meira
Melampsora
Melanconium
Melanomma
Melanospora
Meliniomyces
Meliniomyces
Meredithblackwellia
Metarhizium
Metschnikowia
Microascus
Microbotryum
Microdochium
Microsporum
Microthyrium
Mixia
Monacrosporium
Moniliophthora
Mucor
Myceliophthora
Mycosphaerella
Neurospora
Ogataea
Peniophora
Phycomyces
Piriformospora
Pisolithus
Plectosphaerella
Pleomassaria
Pleurotus
Plicaturopsis
Pluteus
Pneumocystis
Podospora
Polychaeton
Polyplosphaeria
Polyporus
Postia
Pseudomicrostroma
Pseudovirgaria
Pseudozyma
Pterula
Puccinia
Punctularia
Pycnoporus
Pyrenochaeta
Pyrenophora
Pyronema
Ramaria
Ramicandelaber
Rhizoclosmatium
Rhizoctonia
Rhizodiscina
Rhizopogon
Rhizopus
Rhizoscyphus
Rhodosporidium
Rhodotorula
Rhytidhysteron
Rickenella
Rozella
Rutstroemia
Saccharata
Saccharomyces
Saitoella
Sarcoscypha
Schizophyllum
Schizopora
Schizosaccharomyces
Scleroderma
Sclerotinia
Sebacina
Sebacina
Serpula
Setosphaeria
Sistotremastrum
Sodiomyces
Spathaspora
Sphaerobolus
Sporisorium
Sporobolomyces
Sporormia
Stagonospora
Stanjemonium
Stereum
Suillus
Sympodiomyces
Tortispora
Trichoderma
